Date,MktWealth
1926-07-01,1.001
1926-07-02,1.0056045999999998
1926-07-06,1.00741468828
1926-07-07,1.0084221029682798
1926-07-08,1.0107414738051068
1926-07-09,1.003666283488471
1926-07-10,1.0098890144460997
1926-07-12,1.0103939589533226
1926-07-13,1.015344889352194
1926-07-14,1.01585256179687
1926-07-15,1.0115859810373231
1926-07-16,1.016947386736821
1926-07-17,1.0205067025904
1926-07-19,1.020608753260659
1926-07-20,1.0149954051177252
1926-07-21,1.0091084317680423
1926-07-22,1.0018428510593125
1926-07-23,1.0017426667742066
1926-07-24,1.000340227040723
1926-07-26,1.0055419962213348
1926-07-27,1.0100669352043308
1926-07-28,1.0211776714915783
1926-07-29,1.0249560288760973
1926-07-30,1.0268009497280743
1926-07-31,1.0316269141917962
1926-08-02,1.0403957429624264
1926-08-03,1.0455977216772385
1926-08-04,1.0419381296513683
1926-08-05,1.0411045791476472
1926-08-06,1.048288200743766
1926-08-07,1.053319984107336
1926-08-09,1.0555319560739613
1926-08-10,1.0408600618845332
1926-08-11,1.0350312455379798
1926-08-12,1.0438290111250526
1926-08-13,1.0499876022906904
1926-08-14,1.0572325167464962
1926-08-16,1.0580783027598932
1926-08-17,1.0481323667139504
1926-08-18,1.050962324104078
1926-08-19,1.0447616463918639
1926-08-20,1.0427765992637192
1926-08-21,1.0461134843813633
1926-08-23,1.0511348291063938
1926-08-24,1.0424104100248108
1926-08-25,1.0392831787947363
1926-08-26,1.044687451324469
1926-08-27,1.0483438574041049
1926-08-28,1.0518033921335386
1926-08-30,1.055169162988366
1926-08-31,1.0613946610499974
1926-09-01,1.0673384711518774
1926-09-02,1.0669115357634167
1926-09-03,1.0722460934422338
1926-09-07,1.0786795700028873
1926-09-08,1.0732861721528728
1926-09-09,1.072642200449581
1926-09-10,1.0638465344058945
1926-09-11,1.0592719943079492
1926-09-13,1.0590601399090875
1926-09-14,1.0686975871822604
1926-09-15,1.0665601920078958
1926-09-16,1.0647470396814822
1926-09-17,1.0543125186926037
1926-09-18,1.0616927063234518
1926-09-20,1.055004042273614
1926-09-21,1.0581690544004347
1926-09-22,1.0570050684405943
1926-09-23,1.0598589821253839
1926-09-24,1.0665360937127737
1926-09-25,1.0688824731189417
1926-09-27,1.067706702398511
1926-09-28,1.067706702398511
1926-09-29,1.0645035822913154
1926-09-30,1.0676970930381893
1926-10-01,1.0755980515266719
1926-10-02,1.074630013280298
1926-10-04,1.0596926560957018
1926-10-05,1.0481420061442586
1926-10-06,1.0424820393110796
1926-10-07,1.0344549276083843
1926-10-08,1.0406616571740346
1926-10-09,1.0308794375965986
1926-10-11,1.0238694574209417
1926-10-13,1.031036543622888
1926-10-14,1.0410375980960302
1926-10-15,1.022194817570492
1926-10-16,1.0147327954022274
1926-10-18,1.0220388715291235
1926-10-19,1.0114096672652206
1926-10-20,1.0090834250305107
1926-10-21,1.0245224014334777
1926-10-22,1.0205267640678872
1926-10-23,1.0261396612702607
1926-10-25,1.0252161355751175
1926-10-26,1.0285993488225154
